Barrio,DESTINO,cantidad_ocio_comercio,cantidad_oficinas,cantidad_residencial,centros_docentes,distancia_al_mar,nivel_socio_economico,Valor/m2_predicho
GARBINET,DEPORTIVO,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6894977366850852
GARBINET,EDIF. SINGULAR,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6685555916554964
GARBINET,ESPECTACULOS,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6792648014691056
GARBINET,INDUSTRIAL,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.7062580077195104
GARBINET,OCIO-HOSTELERIA,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6792648014691056
GARBINET,OFICINA,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.5880789045257966
GARBINET,PUERTOS COMERC.,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6644017367450665
GARBINET,RELIGIOSO,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6792648014691056
GARBINET,RESIDENCIAL,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6939418860124862
GARBINET,"SANIDAD,BENEF.",0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.5739240542935016
GARBINET,SOLARES,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.7558131008671869
JUAN XXIII,COMERCIO,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7334627723302429
JUAN XXIII,CULTURAL,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7946729897775973
JUAN XXIII,DEPORTIVO,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7958369916343124
JUAN XXIII,EDIF. SINGULAR,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.783963779963988
JUAN XXIII,ESPECTACULOS,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7946729897775973
JUAN XXIII,INDUSTRIAL,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.8159475507372562
JUAN XXIII,OCIO-HOSTELERIA,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7946729897775973
JUAN XXIII,OFICINA,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.6909908150711872
JUAN XXIII,PUERTOS COMERC.,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7763050813156518
JUAN XXIII,RELIGIOSO,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7946729897775973
JUAN XXIII,RESIDENCIAL,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.8065996866802712
JUAN XXIII,"SANIDAD,BENEF.",0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.7067186397784497
JUAN XXIII,SOLARES,0.29696284070424545,0.0006719996559361111,0.9902498316296916,0.30434782608695654,0.40244760153832393,0.4227791361043195,0.8849289793413913
LOS ÁNGELES,COMERCIO,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.6691896536839659
LOS ÁNGELES,CULTURAL,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7496167394570032
LOS ÁNGELES,DEPORTIVO,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7507807413137184
LOS ÁNGELES,EDIF. SINGULAR,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7389075296433942
LOS ÁNGELES,ESPECTACULOS,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7496167394570032
LOS ÁNGELES,INDUSTRIAL,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7671970543591997
LOS ÁNGELES,OCIO-HOSTELERIA,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7496167394570032
LOS ÁNGELES,OFICINA,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.6772700010552444
LOS ÁNGELES,PUERTOS COMERC.,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7204932748157031
LOS ÁNGELES,RELIGIOSO,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7496167394570032
LOS ÁNGELES,RESIDENCIAL,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.7641909066219479
LOS ÁNGELES,"SANIDAD,BENEF.",0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.6967332792229692
LOS ÁNGELES,SOLARES,0.6267791533667678,0.007886293171821875,0.6761300556911298,0.13043478260869565,0.47526542921260906,0.13861722358054884,0.8293877809180805
MERCADO,COMERCIO,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.3507866045631878
MERCADO,CULTURAL,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.46548944486808264
MERCADO,DEPORTIVO,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.4617640506972345
MERCADO,EDIF. SINGULAR,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.45478023505447385
MERCADO,ESPECTACULOS,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.46548944486808264
MERCADO,INDUSTRIAL,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.49324699997265165
MERCADO,OCIO-HOSTELERIA,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.4663258992467567
